  0.00000000E+00  0.99077412E+01
  0.10240071E-01  0.99068335E+01
  0.20480142E-01  0.99036287E+01
  0.30720213E-01  0.98976378E+01
  0.40960285E-01  0.98878846E+01
  0.51200356E-01  0.98723841E+01
  0.61440427E-01  0.98477529E+01
  0.71680498E-01  0.98137795E+01
  0.81920569E-01  0.97744851E+01
  0.92160640E-01  0.97323521E+01
  0.10240071E+00  0.96881273E+01
  0.11264078E+00  0.96418048E+01
  0.12288085E+00  0.95928679E+01
  0.13312093E+00  0.95401361E+01
  0.14336100E+00  0.94813579E+01
  0.15360107E+00  0.94127246E+01
  0.16384114E+00  0.93292212E+01
  0.17408121E+00  0.92273773E+01
  0.18432128E+00  0.91086073E+01
  0.19456135E+00  0.89783509E+01
  0.20480142E+00  0.88428382E+01
  0.21504149E+00  0.87074984E+01
  0.22528157E+00  0.85768113E+01
  0.23552164E+00  0.84544886E+01
  0.24576171E+00  0.83436024E+01
  0.25600178E+00  0.82466281E+01
  0.26624185E+00  0.81654328E+01
  0.27648192E+00  0.81012307E+01
  0.28672199E+00  0.80545208E+01
  0.29696206E+00  0.80250124E+01
  0.30720213E+00  0.80115400E+01
  0.31744221E+00  0.80119762E+01
  0.32768228E+00  0.80231601E+01
  0.33792235E+00  0.80408906E+01
  0.34816242E+00  0.80600737E+01
  0.35840249E+00  0.80751268E+01
  0.36864256E+00  0.80806477E+01
  0.37888263E+00  0.80721406E+01
  0.38912270E+00  0.80464539E+01
  0.39936278E+00  0.80018049E+01
  0.40960285E+00  0.79376330E+01
  0.41984292E+00  0.78545957E+01
  0.43008299E+00  0.77547102E+01
  0.44032306E+00  0.76413612E+01
  0.45056313E+00  0.75189541E+01
  0.46080320E+00  0.73922944E+01
  0.47104327E+00  0.72659699E+01
  0.48128334E+00  0.71439321E+01
  0.49152342E+00  0.70293087E+01
  0.50176349E+00  0.69243784E+01
  0.51200356E+00  0.68306330E+01
  0.52224363E+00  0.67488744E+01
  0.53248370E+00  0.66793214E+01
  0.54272377E+00  0.66217151E+01
  0.55296384E+00  0.65754184E+01
  0.56320391E+00  0.65395098E+01
  0.57344398E+00  0.65128705E+01
  0.58368406E+00  0.64942637E+01
  0.59392413E+00  0.64824063E+01
  0.60416420E+00  0.64760306E+01
  0.61440427E+00  0.64739364E+01
  0.62464434E+00  0.64750310E+01
  0.63488441E+00  0.64783591E+01
  0.64512448E+00  0.64831201E+01
  0.65536455E+00  0.64886766E+01
