#  E (eV)   dos(E)     Int dos(E) EFermi =    9.717 eV
 -47.580  0.1390E-01  0.3370E-03
 -47.579  0.1446E-01  0.3515E-03
 -47.578  0.1504E-01  0.3665E-03
 -47.577  0.1564E-01  0.3821E-03
 -47.576  0.1626E-01  0.3984E-03
 -47.575  0.1691E-01  0.4153E-03
 -47.574  0.1758E-01  0.4329E-03
 -47.573  0.1827E-01  0.4511E-03
 -47.572  0.1899E-01  0.4701E-03
 -47.571  0.1974E-01  0.4899E-03
 -47.570  0.2051E-01  0.5104E-03
 -47.569  0.2131E-01  0.5317E-03
 -47.568  0.2214E-01  0.5538E-03
 -47.567  0.2300E-01  0.5768E-03
 -47.566  0.2389E-01  0.6007E-03
 -47.565  0.2481E-01  0.6255E-03
 -47.564  0.2577E-01  0.6513E-03
 -47.563  0.2675E-01  0.6781E-03
 -47.562  0.2778E-01  0.7058E-03
 -47.561  0.2884E-01  0.7347E-03
 -47.560  0.2993E-01  0.7646E-03
 -47.559  0.3107E-01  0.7957E-03
 -47.558  0.3224E-01  0.8279E-03
 -47.557  0.3345E-01  0.8614E-03
 -47.556  0.3471E-01  0.8961E-03
 -47.555  0.3601E-01  0.9321E-03
 -47.554  0.3735E-01  0.9694E-03
 -47.553  0.3874E-01  0.1008E-02
 -47.552  0.4017E-01  0.1048E-02
 -47.551  0.4166E-01  0.1090E-02
 -47.550  0.4319E-01  0.1133E-02
 -47.549  0.4478E-01  0.1178E-02
 -47.548  0.4642E-01  0.1224E-02
 -47.547  0.4811E-01  0.1272E-02
 -47.546  0.4986E-01  0.1322E-02
 -47.545  0.5167E-01  0.1374E-02
 -47.544  0.5353E-01  0.1428E-02
 -47.543  0.5546E-01  0.1483E-02
 -47.542  0.5745E-01  0.1540E-02
 -47.541  0.5951E-01  0.1600E-02
 -47.540  0.6163E-01  0.1662E-02
 -47.539  0.6382E-01  0.1725E-02
 -47.538  0.6608E-01  0.1792E-02
 -47.537  0.6841E-01  0.1860E-02
 -47.536  0.7082E-01  0.1931E-02
 -47.535  0.7331E-01  0.2004E-02
 -47.534  0.7587E-01  0.2080E-02
 -47.533  0.7851E-01  0.2158E-02
 -47.532  0.8124E-01  0.2240E-02
 -47.531  0.8405E-01  0.2324E-02
 -47.530  0.8695E-01  0.2411E-02
 -47.529  0.8993E-01  0.2501E-02
 -47.528  0.9301E-01  0.2594E-02
 -47.527  0.9619E-01  0.2690E-02
 -47.526  0.9946E-01  0.2789E-02
 -47.525  0.1028E+00  0.2892E-02
 -47.524  0.1063E+00  0.2998E-02
 -47.523  0.1099E+00  0.3108E-02
 -47.522  0.1136E+00  0.3222E-02
 -47.521  0.1174E+00  0.3339E-02
 -47.520  0.1213E+00  0.3461E-02
 -47.519  0.1253E+00  0.3586E-02
 -47.518  0.1295E+00  0.3715E-02
 -47.517  0.1337E+00  0.3849E-02
 -47.516  0.1381E+00  0.3987E-02
 -47.515  0.1426E+00  0.4130E-02
 -47.514  0.1473E+00  0.4277E-02
 -47.513  0.1521E+00  0.4429E-02
 -47.512  0.1570E+00  0.4586E-02
 -47.511  0.1621E+00  0.4748E-02
 -47.510  0.1673E+00  0.4915E-02
 -47.509  0.1726E+00  0.5088E-02
 -47.508  0.1781E+00  0.5266E-02
 -47.507  0.1838E+00  0.5450E-02
 -47.506  0.1896E+00  0.5640E-02
 -47.505  0.1956E+00  0.5835E-02
 -47.504  0.2017E+00  0.6037E-02
 -47.503  0.2081E+00  0.6245E-02
 -47.502  0.2145E+00  0.6459E-02
 -47.501  0.2212E+00  0.6681E-02
 -47.500  0.2281E+00  0.6909E-02
 -47.499  0.2351E+00  0.7144E-02
 -47.498  0.2423E+00  0.7386E-02
 -47.497  0.2497E+00  0.7636E-02
 -47.496  0.2574E+00  0.7893E-02
 -47.495  0.2652E+00  0.8158E-02
 -47.494  0.2732E+00  0.8432E-02
 -47.493  0.2814E+00  0.8713E-02
 -47.492  0.2899E+00  0.9003E-02
 -47.491  0.2985E+00  0.9301E-02
